tx_hash,block_number,timestamp,from_address,to_address,value_eth,gas_limit,gas_used,gas_price_gwei,transaction_fee,nonce,tx_index,is_contract_interaction,input_data,input_data_length,transaction_status,anomaly_flag,transaction_type,date,hour,day_of_week,day_name,gas_usage_ratio,fee_to_value_ratio,transaction_id,is_triangulation
0x01ac97edfa225a383499534c605ba7e72cf987a53bb5c1d054351f4531210819,5538496,2022-11-07 17:38:37,0x8b32dbfdfb37d89ca8b3e81b6d81d21453a90231,0xd487b58ccbfa9ee1ea070430f6732587b33b6cd5,0.761192,27442,25778,88,2414896,90,174,0,0xf5bd8fdd332e54ca37f19d7201b5518c074f7660576baabd36e3a,55,Success,0,transfer,2022-11-07,17,0,Monday,0.939363020188033,3172518.8914229264,17707,False
0xa2ce51b85beea463c4743271efff4ed2ee80947269f0a0dac51e6f2fa470fc56,13887520,2023-04-17 01:46:20,0xd52d82896cfec57f9d9d689f48c6465c5e8712af,0xe7f96d49225611c0871fcaf022f5ad590e509f9d,0.334426,29981,24990,95,2848195,56,42,0,0xd94252c332c7b3831e337307a79e7da,33,Success,0,transfer,2023-04-17,1,0,Monday,0.8335279010039692,8516667.364379564,41229,False
0x647ac68130d8ad78d41b40aae7ea98cefa6d1a2394043b3c30f1b5cc6bc70961,11184447,2017-06-28 18:55:58,0xacabc05b3fe177ef3baeb0cde1b2fa8160632386,0xdd865b57be94579ec4ceaf5357d6e98f1341558e,1.338044,24427,22082,156,3810612,67,21,0,0x6b23158db4e781a24e11e8f0a9b35abf86242895060f0b258660ce8d1d7cb68ceeff15f879e27fa9731b0,87,Success,0,transfer,2017-06-28,18,2,Wednesday,0.9039996724935522,2847897.378561542,30984,False
0x217776fb7efb0cb0d074bb3801d80efd9d0fe1d73875c334d6946c69bdfedb45,7527737,2022-12-12 21:18:06,0x70bea8ee60d5475b484e394b2663e1f8b3e34b94,0xbfd932174244ea361d0366b3726b2e209c3e6293,2.42117,150841,119667,195,29413995,304,27,1,0x1f8576e99401f70b18481aeba15c9ad824e5,38,Success,0,contract_interaction,2022-12-12,21,0,Monday,0.7933320516305249,12148669.857961234,55190,False
0x7569666a9d9e3e04c909fb95c3208b46881eed1b82552dcc82c79c3ae4a75746,6227172,2024-07-12 15:33:33,0x237d9543e609433d2ca590ccdf9ecd1a59620600,0x25974838f85eef4c1f6799f2fdd51811f80d50b2,2.554262,144927,21823,53,7681131,373,91,1,0x1ce991e3e8c2f11e48,20,Success,1,contract_interaction,2024-07-12,15,4,Friday,0.1505792571432514,3007182.1136594443,97472,False
0x1da5523d20cbad6833f70fff7fc173fc880c87e7eff944c4290c7619979b4efd,2061207,2022-12-02 11:25:09,0xd0e111502589b0209a87e980f464ad7b809c636a,0x878897c70832f22af2d524d41bf92d5f79804977,0.117732,21499,21372,47,1010453,510,122,0,0xcefe56bccc1c38800279c8a685747d5a8bad36e18,43,Success,0,transfer,2022-12-02,11,4,Friday,0.9940927484999302,8582653.823939115,55133,False
0xbd624de31899fefe6a8d1dfb91f21406718c46585f151aa02f307f677ede9e40,5515911,2023-08-28 13:26:30,0x2cb66c69551efc586d77d7e248572e6af6a929f9,0x4f06b6daa06e20be83edb580eb0ca85360c340d3,0.422856,26838,23661,31,831978,174,132,0,0xfac557928db6,14,Success,0,transfer,2023-08-28,13,0,Monday,0.8816230717639169,1967520.8581644816,87663,False
0xcc11ce210e83af4b4a53fc4ae9e61f78afc73481d9f2a0a4496c409d76dbe090,2984103,2023-05-14 06:19:49,0x6f2f622cf86b733119bbcfef2dfc138e888d7710,0xb934ead079759550e2517182172a36462c17d256,0.084653,446541,233103,96,42867936,303,8,1,0x766db40b4f47465bcb7a,22,Success,0,contract_interaction,2023-05-14,6,6,Sunday,0.5220192546709037,506395945.8022751,80212,False
0x8eed7cd74546a4da4037d345373b656513c3386772fd7ded6847fa761d60ed7b,1019470,2021-06-03 22:46:05,0x7bb8054f3b66cb9d241f5690ac080659bafada22,0x09a42892466dcb8670c40c465c5e9c453cc02d5c,1.321619,198027,31040,165,32674455,396,44,1,0x687782a7c43d9d3d3d6291844f0fc721e1d464334f6d36980,51,Success,0,contract_interaction,2021-06-03,22,3,Thursday,0.1567463022719124,24723051.80237269,74233,False
0x188cbd08a4d7947584d25d0f9aaffcaf7b98f326365358bb17ff1b3f5356d7ab,7742899,2020-05-23 13:13:38,0x86a2fb7b0395948379573b5d42293143662f2c27,0x67163dff39b24f1389750e0e3dcd016d711f888b,0.288262,226080,131878,5,1130400,42,17,1,0xdfa7946683e23bf068985fce7f94d7ab514816290700407ebe343,55,Success,0,contract_interaction,2020-05-23,13,5,Saturday,0.5833244869072894,3921432.5856339023,10426,False
0x3227e77cd43963041a8538d724e8538b1cc7e6f330da2dbba21ec9ee41511209,5529539,2018-03-24 18:40:09,0xbedee12c2467bdab180ea641ea7df9f457b17915,0x4426a8b6998c38c40c26f302d401bfd3de11d405,1.542191,24884,23201,188,4678192,196,67,0,0xd0c5a0af84c8b75233987a3091a167e826ce14a650db5cebbdadefab67c5891782854e11fac31f710a,84,Success,0,transfer,2018-03-24,18,5,Saturday,0.9323661790708888,3033471.2107644253,93659,False
0x54465d402ecde7152ee1374ce1ac71a106a7e6300c1faf4a6a02772f8bc511fe,8511067,2019-08-16 12:28:56,0x26f46dcac1b0f269ca2650adf2e16045bac99fa5,0xc0eb752fe6d07c2a9f41bd7886cbbe0dfc474757,0.751314,6626680,6190968,137,907855160,2,122,1,0x126be92384b69b3d8fbea151fe4cfe0c96f178b2b0eaef6a1fb61c86,58,Success,1,contract_interaction,2019-08-16,12,4,Friday,0.9342488244490452,1208356506.0680354,99975,False
0xcd5038abc741d292123300c7dc920ec65be01b7c4982c1e67c95ffac930037b3,1880432,2019-11-27 01:45:22,0x9d8bfbae285e707a1aedc5cde54b774e94906c00,0x2f8361bb274311082d8113628dd7a18ef616263b,1.948628,23964,23521,78,1869192,520,174,0,0xac264af793e24a7d55cc28a4f8f84c5b59b0950bfae5d5e458c9ca924b764d229c72524c9fb4da5bdb686fa204769e425a9,101,Success,0,transfer,2019-11-27,1,2,Wednesday,0.9815139375730262,959234.9078428516,13071,False
0xcb36ff5e7761ba42df0117e4d8078106b17d3e19c60ea31f2babbef096edf453,11305665,2017-03-07 08:05:47,0x06255e3a3b72209415a13f95888793db9e0ecf29,0xbd571e63fa243d6b2dadaeb32d06102586ca67e4,1.569613,22407,22040,82,1837374,13,80,0,0xe2359ffb4e205bfa3843c1,24,Success,0,transfer,2017-03-07,8,1,Tuesday,0.9836211898067568,1170590.4576478407,20178,False
0xcaefda3cf19166c20ded1136ee0f01388fb7cc08542a0b15ff96adad530cadea,1713806,2017-07-16 17:14:53,0xf584b78632ae469c4cf7e6bd99695a120894daf5,0x72386762fcb27f6f8db65b622ff97fd7d497da9a,0.405957,27447,26499,130,3568110,595,19,0,0x58ee5511a0769c8a2f283252003fd0f73e720480bcf1688b6f18c1e7f0a,61,Success,0,transfer,2017-07-16,17,6,Sunday,0.9654607060880972,8789379.170700345,70385,False
0x31d3e5ffc1b59bb65fd8d654635ce2f47879ae309ea09f873a68404d30a0a82c,11394610,2024-02-14 02:39:44,0x698e3b36a45c17ff134eee52db9fa0d4af211849,0xe2814814bbba77914436f6cfe5537aefa3db6f52,0.033921,27011,22071,28,756308,943,198,0,0x531cbbb235107e2da893a3adfac7b6b8b7cc8208dda760a965ce3a2bb6beb7bd1198aefe6db56bc7,82,Success,0,transfer,2024-02-14,2,2,Wednesday,0.8171115471474585,22296158.7217358,39664,False
0x9f6c4ae46153eccbf0267b10ce9699936c4699b65f999201e0945028f6de919d,13443807,2015-08-03 19:55:20,0x44ad5b95178355d6ae25c56a7f920ee09c8c8953,0x98f654187f936e5916fb9ff321ae105216ece324,0.805351,447674,291302,40,17906960,63,191,1,0x11baad47b1a6a771f8673af739a6add9dcd47f64898b4c5b34bc71ef02677b5e1e74bd787dd5f4,80,Success,0,contract_interaction,2015-08-03,19,0,Monday,0.650701179876428,22234975.805580422,59711,False
