hash,block_number,from_address,to_address,value,gas_limit,gas_used,gas_price,timestamp,transaction_type,status
0x63cea7c46926aa7437725417bd51fb40b95cb80aae9fbbfedded2b63f8242648,10047067,0x05e8aa205610c6d71402f661b14217a00395f2f1,0x9e075e514079fd20b63e7c68131172f4387c6bab,9.973161656234322e+16,50000,10442.22989486744,22042590025.516716,2025-03-06 07:11:26.916109,transfer,1
0x6138bd1989413beb6bc7e2d031731d55935ce19b19d3defe7d6b8d74fc1e4798,10013121,0xda5ab4d15810d48f2dfc6dc270754f5ecf731269,0x0c1bb28bff4fe55af9317db4aa02db5d025e8cc2,9.417040983827901e+17,200000,13991.307730106442,15839017557.02966,2025-02-23 02:11:51.916109,transfer,1
0xbbbc8cec086870b77ea207220a49698b687b10f66d742b75a2024ed20496ed6a,10031962,0x70d1f212d75b1c7e910ce8e6323e05f38e4ff97a,0x1cff5b48e9dd52265a3686866d8e801e9490ed3b,9.99782747491585e+16,50000,34557.54781218881,14774370680.299458,2025-02-24 00:04:37.916109,transfer,1
0x8ee99bc2ef603cf3d466ceac3cf6a25b19cd845bbbb3ddaf96b86d008ad83c82,10002743,0x3acc4ba0200500de18146a1a810a231f5994e3ea,0x64d3725051336ceec1c66841123570bd9da6b9ec,1.0993739541904763e+18,200000,37489.006740527926,38320044230.66659,2025-03-04 12:57:54.916109,transfer,1
0x657a8d4029b7ea5ff7830d093bd61204070a011b564f002d14b9f5f636a7a0e5,10028088,0x733caf2536cc669733204efc53033c20364f24b4,0x7062f60417f637de6bf5f259b32d5de3ebefeb34,2.4112705022583316e+16,100000,71097.3010479079,12774866738.111685,2025-02-21 00:53:19.916109,contract_interaction,1
0x743155aeff08ba5fc23ba3292e23f63807f6170ab8816ed926bf9f83b010fdb4,10061029,0x13d4f074ef2c32235bb416982ac1b111532a952a,0x8b196afbf60f0400a36f139bb57c19ec904ebcb1,2.2754966734687665e+18,200000,12900.790753824349,55007079986.05047,2025-02-17 16:57:07.916109,transfer,1
0x4fa68822ff23757073a073573d2fd828c1fd1152fc83030d4f37f7620f0fba25,10024997,0x202f6a3c238f6f3a8377d1b4fb820889545fe7d2,0xf56a5ab8d6b6a0f9c4ed92670a0f3378bcfdf7a2,2.817259594230961e+16,200000,14676.718981802784,20019844313.412735,2025-03-07 10:02:06.916109,contract_interaction,1
0x65dd55c257aa14d0bef04bcf232f0f0bbdcd452b847c0d4e2b03ec4f60f2f189,10018695,0x88d25b8df6c5e802b226f435b8bcf3d70b198cfa,0x2da9e6bd49b0312040d9d46c9ff4a901325c1453,8.826767167435895e+17,200000,79718.70525072617,22125932432.578003,2025-03-14 12:51:35.916109,transfer,1
0xe5927d71fe561ea9190708a5f6c9692187cb9683c307fdfdb26eb11f6e5289ed,10091462,0x9cf8d55d119d5a7a611c271b1d2d40f26c626fdd,0x06868f6918e3e8d2a12990760abe2c61ad6c4121,1.751530623032766e+17,50000,13961.037463713146,35479801347.3824,2025-02-26 17:23:19.916109,contract_interaction,1
0xc59950395e5ab4074bbb4635cf3de2673fc1b9d207e2b969494d6e8b40990e1f,10014219,0xad6b1d9812c7c92aef00fad04acbfca02c9796cf,0x89a46db8b01d33ab2940f5769eeb615e98544514,7.929698654199674e+17,50000,122407.8816189096,17161197541.568218,2025-03-10 19:24:16.916109,transfer,1
